DOY,GPP
-0.840336134,9.795918367
10.92436975,9.387755102
34.45378151,8.775510204
46.21848739,7.959183673
61.34453782,7.551020408
69.74789916,8.367346939
76.47058824,9.795918367
81.51260504,11.02040816
88.23529412,11.83673469
93.27731092,12.65306122
100,13.26530612
115.1260504,14.08163265
120.1680672,15.71428571
128.5714286,17.34693878
133.6134454,18.36734694
136.9747899,19.18367347
142.0168067,20.40816327
148.7394958,21.63265306
160.5042017,21.02040816
172.2689076,21.83673469
182.3529412,22.44897959
194.1176471,23.67346939
202.5210084,23.87755102
205.8823529,23.26530612
217.6470588,22.65306122
229.4117647,23.26530612
242.8571429,24.08163265
252.9411765,24.08163265
269.7478992,22.44897959
279.8319328,20.40816327
288.2352941,17.95918367
293.2773109,16.32653061
300,14.69387755
315.1260504,12.85714286
333.6134454,11.42857143
347.0588235,10
353.7815126,9.183673469
365.5462185,7.755102041
