,Year,Month,PRCP,TAVG,TMIN,TMAX
0,1911.0,1.0,0.0,-999.0,-999.0,-999.0
1,1911.0,2.0,1.0,-999.0,-999.0,-999.0
2,1911.0,3.0,0.0,-999.0,-999.0,-999.0
3,1911.0,4.0,82.0,-999.0,-999.0,-999.0
4,1911.0,5.0,150.0,-999.0,-999.0,-999.0
5,1911.0,6.0,126.0,-999.0,-999.0,-999.0
6,1911.0,7.0,93.0,-999.0,-999.0,-999.0
7,1911.0,8.0,57.0,-999.0,-999.0,-999.0
8,1911.0,9.0,189.0,-999.0,-999.0,-999.0
9,1911.0,10.0,116.0,-999.0,-999.0,-999.0
10,1911.0,11.0,6.0,-999.0,-999.0,-999.0
11,1911.0,12.0,0.0,-999.0,-999.0,-999.0
12,1912.0,1.0,9.0,-999.0,-999.0,-999.0
13,1912.0,2.0,5.0,-999.0,-999.0,-999.0
14,1912.0,3.0,26.0,-999.0,-999.0,-999.0
15,1912.0,4.0,37.0,-999.0,-999.0,-999.0
16,1912.0,5.0,92.0,-999.0,-999.0,-999.0
17,1912.0,6.0,97.0,-999.0,-999.0,-999.0
18,1912.0,7.0,113.0,-999.0,-999.0,-999.0
19,1912.0,8.0,201.0,-999.0,-999.0,-999.0
20,1912.0,9.0,164.0,-999.0,-999.0,-999.0
21,1912.0,10.0,229.0,-999.0,-999.0,-999.0
22,1912.0,11.0,132.0,-999.0,-999.0,-999.0
23,1912.0,12.0,0.0,-999.0,-999.0,-999.0
24,1913.0,1.0,0.0,-999.0,-999.0,-999.0
25,1913.0,2.0,9.0,-999.0,-999.0,-999.0
26,1913.0,3.0,0.0,-999.0,-999.0,-999.0
27,1913.0,4.0,3.0,-999.0,-999.0,-999.0
28,1913.0,5.0,167.0,-999.0,-999.0,-999.0
29,1913.0,6.0,105.0,-999.0,-999.0,-999.0
30,1913.0,7.0,108.0,-999.0,-999.0,-999.0
31,1913.0,8.0,226.0,-999.0,-999.0,-999.0
32,1913.0,9.0,177.0,-999.0,-999.0,-999.0
